SKU,MasterSKU,Stockist,COG,GSTPerc,TransportationCost,StockistMarkup
9011BLACK,9011BLACK,ASWIM,103,0.18,0,3
9011BLUE,9011BLUE,ASWIM,103,0.18,0,3
9011BROWN,9011BROWN,ASWIM,103,0.18,0,3
9011NAVYBLUE,9011BLUE,OLD COMPANY,103,0.18,0,3
AF00032BLUE,32BLUE,ASWIM,176,0.18,0,4
AF00032BROWN,32BROWN,ASWIM,176,0.18,0,4
AF0023BOWN,23BROWN,OLD COMPANY,250,0.18,0,6
AF0032BROWN,32BROWN,ASWIM,176,0.18,0,4
AF0032NAVYBLUE,32BLUE,OLD COMPANY,176,0.18,0,4
AFAT0013BLBL,13BLACK,OLD COMPANY,255,0.18,0,6
AFAT0013BRBR,13BROWN,OLD COMPANY,255,0.18,0,6
AFAT0013MRBL,13MRBL,OLD COMPANY,255,0.18,0,6
AFAT0013MRBLU,13MRBLU,OLD COMPANY,255,0.18,0,6
AFAT0013V1BRBR,13BROWN,OLD COMPANY,255,0.18,0,6
AFAT0013V9MRBL,13MRBL,OLD COMPANY,255,0.18,0,6
AFAT0013V9MRBLU,13MRBLU,OLD COMPANY,255,0.18,0,6
AFAT0013V9TNBL,13TNBL,OLD COMPANY,255,0.18,0,6
AFAT0023BLBL,23BLACK,OLD COMPANY,250,0.18,0,6
AFAT0023BLBLU,23BLBLU,OLD COMPANY,255,0.18,0,6
AFAT0023BRBL,23BROWN,OLD COMPANY,250,0.18,0,6
AFAT0023MRBL,23MRBL,ASWIM,195,0.18,0,6
AFAT0023MRBLU,23MRBLUE,OLD COMPANY,225,0.18,0,6
AFAT0023REDBL,23REDBL,OLD COMPANY,250,0.18,0,6
AFAT0023TNBR,23TNBR,OLD COMPANY,250,0.18,0,6
AFAT0023V1BLBLU,23BLBLU,OLD COMPANY,250,0.18,0,6
AFAT0023V1MRBL,23MRBL,ASWIM,195,0.18,0,6
AFAT0023V1TNBL,23TNBL,OLD COMPANY,250,0.18,0,6
AFAT0023V1TNBR,23TNBR,OLD COMPANY,250,0.18,0,6
AFAT0023V4BLBL,23BLACK,OLD COMPANY,250,0.18,0,6
AFAT0023V9BRTN,23BRTN,OLD COMPANY,250,0.18,0,6
AFAT0023V9REDBL,23REDBL,OLD COMPANY,250,0.18,0,6
AFAT0023V9TNBL,23TNBL,OLD COMPANY,250,0.18,0,6
AFAT0032BL,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BLACK,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BLACK1,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BLBL,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BLK,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BLKBLK,32BLACK,ASWIM,176,0.18,0,4
AFAT0032BR,32BROWN,ASWIM,176,0.18,0,4
AFAT0033NEWBRBR,33BROWN,OLD COMPANY,185,0.18,0,5
AFAT0044TNBLUE,44TNBLUE,OLD COMPANY,250,0.18,0,6
AFAT0044V1TNBLU,44TNBLUE,OLD COMPANY,250,0.18,0,6
AFAT787BRBR,AT7BROWN,OLD COMPANY,250,0.18,0,6
AFATVS222BLBL,VS222BLACK,ASWIM,153,0.18,0,3.5
AFATVS222BRBR,VS222BROWN,ASWIM,153,0.18,0,3.5
AFATVS222BRBR,VS222BROWN,ASWIM,153,0.18,0,3.5
AFATVS222TNTN,VS222TAN,ASWIM,153,0.18,0,3.5
AFCH9011BLBL,9011BLACK,ASWIM,103,0.18,0,3
AFCH9011BRBR,9011BROWN,ASWIM,103,0.18,0,3
AFFF800BLBL,800BLACK,OLD COMPANY,104,0.18,0,3
AFKH9011BLK,9011BLACK,ASWIM,103,0.18,0,3
AFKHVS222BLACK,VS222BLACK,ASWIM,153,0.18,0,3.5
AFKHVS222BROWN,VS222BROWN,ASWIM,153,0.18,0,3.5
AFKHVS222NAVYBLU,VS222BLUE,ASWIM,153,0.18,0,3.5
AFKHVS222TAN,VS222TAN,ASWIM,153,0.18,0,3.5
AFNYALOVETANBLTN,LOVETANBLTN,OLD COMPANY,250,0.18,0,6
AFNYALUPINBLBR,AFNYALUPINBLBR,OLD COMPANY,250,0.18,0,6
